,lat,lng,address
1,40.72163,-74.049967,07302
2,40.749984,-74.02715,07030
3,40.745983,-74.028199,07030
12,40.721630142638354,-74.04996782541275,07302
28,40.74598388291562,-74.02819901704788,07030
29,40.74998490907138,-74.02715027332306,07030
47,40.745984,-74.028199,07030
51,40.749985,-74.02715,07030
96,40.744318,-74.04399,07087
97,40.743139,-74.04004,07030
112,40.74313993965626,-74.04004096984863,07030
204,40.72165,-74.042884,07302
205,40.7443187,-74.0439909,07087
212,40.74314,-74.040041,07030
568,40.744319,-74.043991,07087
599,40.72163,-74.049968,07302
635,40.72165072487999,-74.04288411140442,07302
830,40.735937,-74.030304,07030
846,40.73593758446329,-74.03030455112457,07030
1423,40.735938,-74.030305,07030
1764,40.742258,-74.035111,07030
1765,40.73913,-74.03618,07030
1766,40.71346382669195,-74.06285852193832,07304
1768,40.742257,-74.035111,07030
1769,40.7422579775645,-74.03511106967926,07030
1787,40.713463,-74.062858,07304
1788,40.725685,-74.04879,07302
1826,40.72568548362901,-74.04879033565521,07302
1958,40.713464,-74.062859,07304
2056,40.721651,-74.042884,07302
2162,40.7241765,-74.0506564,07302
2164,40.724176,-74.050656,07302
2380,40.724177,-74.050656,07302
2553,40.75296063046496,-74.02435272932053,07030
2559,40.7177325,-74.043845,07302
2561,40.717732,-74.043845,07302
2630,40.75296,-74.024352,07030
2702,40.717733,-74.043845,07302
2705,40.711242,-74.055701,07304
2745,40.7112423,-74.0557013,07304
2747,40.752961,-74.024353,07030
3043,40.736067,-74.029127,07030-5774
3891,40.737711,-74.066921,07306
4495,40.71942,-74.05099,07302
4673,40.71517767732029,-74.03768330812454,07302
4699,40.737603,-74.052478,07306
4700,40.7376037,-74.0524783,07306
4902,40.715177,-74.037683,07302
5425,40.71435836870427,-74.06661093235016,07304
5565,40.74080190165358,-74.04243484139442,07307
5569,40.71653978099194,-74.0496379137039,07302
5574,40.73879,-74.0393,07030
5629,40.716539,-74.049637,07302
5635,40.740802,-74.042435,07307
5636,40.740801,-74.042434,07307
5803,40.714358,-74.06661,07304
5853,40.74313282710551,-74.02698867022991,07030
5857,40.743132,-74.026988,07030
5891,40.736068,-74.029127,07030-5774
6006,40.727595,-74.044247,07302
6012,40.737551,-74.041663,07030
6013,40.750915,-74.03354,07030
6043,40.727595966,-74.044247311,07302
6050,40.750915534784994,-74.03354063630104,07030
6265,40.715178,-74.037683,07302
6583,40.73755127245804,-74.04166370630264,07030
6587,40.750916,-74.033541,07030
6743,40.749943,-74.035864,07030
6744,40.718488,-74.047726,07302
6906,40.727596,-74.044247,07302
7077,40.74994325412246,-74.03586477041245,07030
7218,40.71848892,-74.047726625,07302
7274,40.743133,-74.026989,07030
7340,40.719282,-74.071261,07304
7372,40.719586,-74.043117,07302
7480,40.71928220070702,-74.07126188278198,07304
7881,40.73367,-74.0625,07306
7883,40.71958611647166,-74.04311746358871,07302
7888,40.72601172964625,-74.05038893222809,07302
7907,40.7182113,-74.0836394,07304
7910,40.718489,-74.047727,07302
7915,40.7311689,-74.0575736,07306
7918,40.718211,-74.083639,07304
7937,40.73520838045357,-74.04696375131607,07310
7949,40.719251,-74.034234,07311
7950,40.7192517,-74.034234,07311
7978,40.726012,-74.050389,07302
8062,40.726011,-74.050388,07302
8092,40.749943,-74.035865,07030
8152,40.744397,-74.0345,07030
8268,40.735208,-74.046963,07310
8395,40.7443978330956,-74.03450086712837,07030
8397,40.74641264837719,-74.03797701001167,07030
8398,40.746412,-74.037977,07030
8400,40.73089709786179,-74.06391263008118,07306
8406,40.719252,-74.034234,07311
8577,40.735208,-74.046964,07310
8608,40.731168,-74.057573,07306
8685,40.725289,-74.045571,07302
8774,40.730897,-74.063912,07306
8776,40.734961,-74.059503,07306
8904,40.748716,-74.040443,07307
8905,40.748715,-74.040443,07307
9060,40.72528910781132,-74.04557168483734,07302
9657,40.71654,-74.049638,07302
10136,40.74871594538023,-74.04044330120087,07307
10260,40.721525,-74.046304,07302
10261,40.71687,-74.03281,07311
10623,40.714358,-74.066611,07304
10749,40.72152515,-74.046304543,07302
10828,40.73496102000952,-74.0595030784607,07306
10839,40.737551,-74.041664,07030
10855,40.746413,-74.037977,07030
13073,40.730897,-74.063913,07306
13420,40.721525,-74.046305,07302
14423,40.75453,-74.02658,07087
14437,40.74542,-74.03332,07030
15589,40.744398,-74.034501,07030
19699,40.731169,-74.057574,07306
21282,40.725289,-74.045572,07302
23897,40.719282,-74.071262,07304
24348,40.724605,-74.078405,07304
24717,40.748161,-74.032453,07030
25925,40.724605,-74.078406,07304
25926,40.74816121065146,-74.0324530005455,07030
26897,40.7246050998869,-74.07840594649315,07304
27596,40.737604,-74.052478,07306
30081,40.7242941,-74.0354826,07302
